20 20 100
18 7 18 7 
17 7 17 8 
17 7 16 9 
15 10 15 10 
10 17 15 10 
14 11 14 11 
13 12 13 12 
13 13 13 13 
13 16 14 12 
14 11 15 11 
16 10 16 10 
17 9 17 9 
17 9 17 10 
17 10 17 11 
17 12 17 12 
18 12 17 13 
17 14 17 14 
16 15 16 15 
16 15 17 15 
16 15 18 15 
15 12 19 15 
14 12 19 15 
14 13 18 14 
17 13 17 13 
16 12 16 12 
16 12 15 11 
15 12 14 10 
15 12 13 9 
12 8 12 8 
12 8 11 7 
13 19 11 6 
12 6 12 6 
14 6 13 6 
15 6 14 6 
14 6 15 6 
16 7 16 7 
16 7 16 8 
17 7 17 8 
17 7 17 9 
18 10 18 10 
17 11 17 10 
17 11 16 9 
17 11 15 8 
14 7 14 7 
15 6 15 6 
16 5 16 5 
16 6 16 6 
16 7 16 7 
16 7 16 8 
15 9 15 9 
15 8 14 10 
15 8 14 11 
9 4 15 10 
16 9 16 9 
13 9 17 9 
13 9 16 8 
19 15 15 9 
14 9 14 9 
14 8 13 9 
14 8 14 9 
15 8 15 9 
15 8 14 8 
15 8 13 7 
11 7 12 7 
11 8 12 8 
12 9 12 9 
12 11 12 10 
3 0 12 11 
3 0 12 12 
12 13 12 13 
12 13 12 14 
12 13 12 15 
15 2 12 16 
12 17 12 17 
12 18 12 18 
12 17 11 17 
11 17 11 17 
11 17 10 17 
11 16 9 17 
11 16 8 17 
8 17 8 18 
7 19 8 19 
8 18 8 18 
8 18 8 17 
8 17 8 16 
8 16 8 15 
8 16 8 14 
8 13 8 13 
8 14 8 12 
9 13 8 13 
9 14 8 14 
9 12 9 13 
4 7 10 12 
10 11 11 11 
10 11 10 10 
9 10 9 9 
8 10 8 8 
7 7 7 7 
7 6 7 6 
7 6 7 5 
